,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Svetlyy,RU,54.675,20.1347,28.45,87,100,5.21,overcast clouds
346,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.85,82,97,0.36,overcast clouds
347,Bereda,ES,43.2686,-7.5406,53.42,97,100,6.67,light rain
348,Onega,RU,63.9061,38.1404,17.65,88,64,13.87,broken clouds
349,Frederico Westphalen,BR,-27.3592,-53.3944,66.33,59,76,2.39,broken clouds
350,Nelson Bay,AU,-32.7167,152.15,80.65,76,1,13.0,clear sky
351,Cuddapah,IN,14.4667,78.8167,77.0,78,75,3.44,light intensity drizzle
352,Mount Isa,AU,-20.7333,139.5,89.37,48,100,8.05,moderate rain
353,Saint-Louis,SN,16.3333,-15.0,64.04,21,0,10.04,clear sky
354,Port Hedland,AU,-20.3167,118.5667,93.25,59,98,23.02,overcast clouds
355,Trinidad,BO,-14.8333,-64.9,71.37,99,100,6.93,moderate rain
356,Neftcala,AZ,39.3742,49.2472,43.43,68,75,7.74,broken clouds
357,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,64,75,6.71,broken clouds
358,Brigantine,US,39.4101,-74.3646,16.0,62,0,5.75,clear sky
359,Sistranda,NO,63.7256,8.834,24.76,63,98,17.72,overcast clouds
360,Cheyenne,US,41.14,-104.8203,35.76,65,0,10.0,clear sky
361,Olga,RU,43.7444,135.2892,24.17,68,94,12.15,overcast clouds
362,Nyuksenitsa,RU,60.4128,44.2397,9.9,97,37,4.99,scattered clouds
363,Bull Savanna,JM,17.8868,-77.5902,71.04,84,29,5.91,scattered clouds
364,Adwa,ET,14.1646,38.8955,60.33,61,81,1.28,broken clouds
365,Strezhevoy,RU,60.7333,77.5889,23.04,97,98,6.71,overcast clouds
366,Axim,GH,4.8699,-2.2405,75.33,80,59,4.21,broken clouds
367,San Cristobal,VE,7.7669,-72.225,64.58,74,0,1.54,clear sky
368,Pelym,RU,61.0108,61.9978,31.21,92,100,9.37,overcast clouds
369,Vanavara,RU,60.34,102.2797,-9.36,99,90,3.22,overcast clouds
370,Ornskoldsvik,SE,63.2909,18.7153,16.75,92,11,11.5,few clouds
371,Sosnovskoye,RU,55.8052,43.167,31.01,98,100,5.79,overcast clouds
372,Samarai,PG,-10.6167,150.6667,86.81,71,98,12.82,overcast clouds
373,Sale,MA,34.0389,-6.8166,62.64,82,20,3.44,few clouds
374,Sambava,MG,-14.2667,50.1667,77.95,79,77,5.64,broken clouds
375,Sitka,US,57.0531,-135.33,35.49,75,40,9.22,scattered clouds
376,Touho,NC,-20.7833,165.2333,81.84,74,95,3.29,light rain
377,Svetlogorsk,BY,52.6333,29.7333,28.27,90,100,5.66,overcast clouds
378,Riedlingen,DE,48.1545,9.4756,44.78,96,100,3.47,overcast clouds
379,Belmonte,BR,-15.8631,-38.8828,74.21,87,100,2.39,overcast clouds
380,Brae,GB,60.3964,-1.353,47.1,82,100,16.42,light rain
381,Ahipara,NZ,-35.1667,173.1667,68.81,65,100,5.93,overcast clouds
382,Sembakung,ID,3.8167,117.25,90.03,55,100,3.18,overcast clouds
383,Belton,US,38.812,-94.5319,11.61,72,0,6.91,clear sky
384,Maumere,ID,-8.6199,122.2111,82.17,73,100,5.44,overcast clouds
385,Asau,RO,46.4333,26.4,31.12,89,65,5.23,broken clouds
386,Malakal,SS,9.5334,31.6605,71.17,26,55,10.29,broken clouds
387,Agadez,NE,19.75,10.25,51.93,52,28,10.16,scattered clouds
388,Havelock,US,34.8791,-76.9013,28.38,57,0,10.36,clear sky
389,Ulagan,RU,50.6321,87.9563,7.54,90,93,1.1,overcast clouds
390,Praia Da Vitoria,PT,38.7333,-27.0667,53.85,71,20,21.27,few clouds
391,Isangel,VU,-19.55,169.2667,89.71,62,52,5.75,broken clouds
392,Berdigestyakh,RU,62.0989,126.6992,-25.65,98,86,3.69,overcast clouds
393,Barra Do Garcas,BR,-15.89,-52.2567,70.88,96,74,3.0,broken clouds
394,Impfondo,CG,1.6381,18.0667,68.04,62,59,2.57,broken clouds
395,Cumana,VE,10.4635,-64.1775,72.88,76,0,9.17,clear sky
396,Barra Patuca,HN,15.8,-84.2833,74.89,86,4,6.51,light rain
397,Puerto Quijarro,BO,-17.7833,-57.7667,69.85,99,100,2.44,overcast clouds
398,Eureka,US,40.8021,-124.1637,62.2,95,99,1.01,overcast clouds
399,Hami,CN,42.8,93.45,22.21,40,21,1.88,few clouds
400,Saldanha,ZA,-33.0117,17.9442,60.85,74,88,18.5,overcast clouds
401,Margate,GB,51.3813,1.3862,51.12,91,98,5.01,overcast clouds
402,Salalah,OM,17.0151,54.0924,77.09,73,75,2.3,broken clouds
403,Camapua,BR,-19.5314,-54.0439,69.33,91,100,5.19,overcast clouds
404,Sao Filipe,CV,14.8961,-24.4956,71.8,60,58,11.83,broken clouds
405,Winneba,GH,5.3511,-0.6231,74.91,62,89,4.14,overcast clouds
406,Kulhudhuffushi,MV,6.6221,73.07,80.65,71,69,7.9,broken clouds
407,Vallenar,CL,-28.5708,-70.7581,63.32,71,0,1.52,clear sky
408,Chicama,PE,-7.8447,-79.1469,64.94,83,93,3.2,overcast clouds
409,Atar,MR,20.5169,-13.0499,57.99,26,0,7.67,clear sky
410,Fort Abbas,PK,29.1925,72.8536,61.27,22,22,1.66,few clouds
411,Ierapetra,GR,35.01,25.7353,55.15,70,29,8.01,scattered clouds
412,Uyuni,BO,-20.4597,-66.825,51.01,17,0,3.18,clear sky
413,Dabat,ET,12.9842,37.765,55.15,51,97,1.43,overcast clouds
414,Leh,IN,34.1667,77.5833,10.92,49,4,1.68,clear sky
415,Kautokeino,NO,69.0125,23.0412,2.52,98,85,3.15,overcast clouds
416,Zarate,AR,-34.0981,-59.0286,57.96,76,2,8.01,clear sky
417,Makakilo City,US,21.3469,-158.0858,76.19,82,0,3.44,clear sky
418,Moundsville,US,39.9203,-80.7431,14.02,87,100,14.18,overcast clouds
419,Guaruja,BR,-23.9931,-46.2564,72.9,26,45,1.01,scattered clouds
420,Oussouye,SN,12.485,-16.5469,68.97,31,44,6.64,scattered clouds
421,River Falls,US,44.8614,-92.6238,1.15,75,3,15.23,clear sky
422,Lavrentiya,RU,65.5833,-171.0,14.05,87,48,14.99,scattered clouds
423,Papara,BR,-3.9839,-38.7273,79.68,88,75,2.91,broken clouds
424,Hope,US,33.6671,-93.5916,28.45,46,0,3.02,clear sky
425,Japura,ID,-0.3167,102.35,85.62,58,89,4.23,light rain
426,Paamiut,GL,61.994,-49.6678,11.23,59,1,10.65,clear sky
427,Marienburg,PL,54.0359,19.0266,36.03,98,99,4.85,overcast clouds
428,Santona,ES,43.4439,-3.4576,66.13,62,100,13.18,overcast clouds
429,Aberystwyth,GB,52.4155,-4.0829,50.88,88,100,15.35,overcast clouds
430,Poum,NC,-20.2333,164.0167,82.44,75,100,5.99,light rain
431,Mayo,US,38.8876,-76.5119,21.96,61,0,3.44,clear sky
432,Pringsewu,ID,-5.3582,104.9744,82.54,67,100,2.17,overcast clouds
433,Kupang,ID,-10.1667,123.5833,77.58,100,100,8.05,overcast clouds
434,Urman,RU,54.8831,56.8742,7.29,88,30,5.57,scattered clouds
435,Iqaluit,CA,63.7506,-68.5145,-7.31,76,75,0.0,broken clouds
436,Ozernovskiy,RU,51.5,156.5167,36.86,80,96,21.07,overcast clouds
437,Victoria Point,AU,-27.5833,153.3,81.45,75,27,11.27,scattered clouds
438,Healdsburg,US,38.6105,-122.8692,56.32,93,0,3.44,clear sky
439,Hambantota,LK,6.1241,81.1185,82.42,73,99,10.16,moderate rain
440,Hervey Bay,AU,-25.2986,152.8535,76.89,63,99,10.0,overcast clouds
441,Calabozo,VE,8.9242,-67.4293,71.76,64,16,5.97,few clouds
442,Teabo,MX,20.4,-89.2833,66.87,92,100,5.03,overcast clouds
443,Eyl,SO,7.9803,49.8164,77.81,71,57,14.58,broken clouds
444,Russell,US,32.3502,-85.1999,24.4,47,3,6.42,clear sky
445,Thanh Hoa,VN,19.8,105.7667,72.86,41,65,5.66,broken clouds
446,Sembe,CG,1.6481,14.5806,68.7,83,98,2.06,overcast clouds
447,Sumbe,AO,-11.2061,13.8437,74.91,78,99,0.87,overcast clouds
448,Kasongo-Lunda,CD,-6.4667,16.8167,68.72,98,100,0.58,overcast clouds
449,Aktash,RU,50.3,87.7333,-2.02,92,90,3.78,overcast clouds
450,Walvis Bay,NA,-22.9575,14.5053,63.55,88,1,3.44,clear sky
451,Kurchum,KZ,48.5722,83.6542,-5.64,92,30,0.65,scattered clouds
452,Egvekinot,RU,66.3167,-179.1667,10.24,77,1,15.79,clear sky
453,Dunedin,NZ,-45.8742,170.5036,60.71,90,73,10.47,broken clouds
454,Ostrovnoy,RU,68.0531,39.5131,13.68,94,100,25.28,light snow
455,Severo-Yeniseyskiy,RU,60.3725,93.0408,3.27,95,100,5.28,overcast clouds
456,Seydi,TM,39.4816,62.9137,38.23,53,100,8.3,overcast clouds
457,Pergamino,AR,-33.89,-60.5736,55.18,75,1,6.96,clear sky
458,Beloha,MG,-25.1667,45.05,76.6,72,13,6.04,few clouds
459,Rumoi,JP,43.9344,141.6428,34.41,92,99,17.43,light snow
460,Geraldton,AU,-28.7667,114.6,79.21,61,0,19.57,clear sky
461,Meadow Lake,US,34.8014,-106.5436,42.28,62,1,7.29,clear sky
462,Gravelbourg,CA,49.8834,-106.5512,5.27,89,100,15.1,snow
463,Pangkalanbuun,ID,-2.6833,111.6167,90.64,48,89,7.11,overcast clouds
464,Taltal,CL,-25.4,-70.4833,63.27,81,12,1.54,few clouds
465,Kushmurun,KZ,52.4503,64.6311,8.56,86,15,8.9,few clouds
466,Nicoya,CR,10.1483,-85.452,72.14,81,22,5.86,few clouds
467,Belaya Gora,RU,68.5333,146.4167,-32.78,99,11,2.39,few clouds
468,Gigmoto,PH,13.7796,124.39,74.75,82,100,21.72,overcast clouds
469,Muros,ES,42.7762,-9.0603,58.84,82,100,15.01,light rain
470,Zapote,MX,21.0667,-102.8,58.68,63,27,4.92,scattered clouds
471,Sinnamary,GF,5.3833,-52.95,75.52,91,76,10.02,broken clouds
472,Fuling,CN,29.7022,107.3919,56.28,48,100,1.79,overcast clouds
473,Vila Velha,BR,-20.3297,-40.2925,67.95,97,40,2.3,light rain
474,Mahibadhoo,MV,3.7833,72.9667,80.6,70,65,9.69,broken clouds
475,Tevaitoa,PF,-16.7833,-151.5,80.4,75,29,14.85,light rain
476,Sibolga,ID,1.7427,98.7792,84.47,63,92,4.23,overcast clouds
477,Hanzhong,CN,33.0728,107.0303,37.49,88,100,1.95,overcast clouds
478,Sorland,NO,67.667,12.6934,30.06,61,69,6.73,light snow
479,Stuttgart,DE,48.7823,9.177,47.64,78,40,1.14,mist
480,Yuli,NG,9.6989,10.2744,61.05,37,13,6.31,few clouds
481,Baiyin,CN,36.5583,104.2081,24.24,39,100,5.32,overcast clouds
482,Umm Kaddadah,SD,13.6017,26.6876,56.26,40,45,13.22,scattered clouds
483,Noyabrsk,RU,63.1994,75.4507,22.68,96,100,11.92,overcast clouds
484,Breves,BR,-1.6822,-50.4803,72.34,96,8,3.8,clear sky
485,Salo,IT,45.6086,10.531,45.99,79,7,4.47,clear sky
486,Bunia,CD,1.5667,30.25,63.79,76,49,1.81,scattered clouds
487,Alice Town,BS,25.7167,-79.3,64.11,69,96,14.27,overcast clouds
488,Lerwick,GB,60.1545,-1.1494,48.2,82,100,18.43,light rain
489,North Battleford,CA,52.7834,-108.2847,4.41,85,100,28.77,snow
490,Coruripe,BR,-10.1256,-36.1756,75.63,88,78,8.3,broken clouds
491,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.92,99,100,0.49,light rain
492,Kamakwie,SL,9.5,-12.2333,67.21,47,14,2.42,few clouds
493,Chumikan,RU,54.7183,135.315,10.11,67,100,10.69,overcast clouds
494,Fonte Boa,BR,-2.4959,-66.2662,73.13,93,100,1.54,overcast clouds
495,Letlhakane,BW,-21.4167,25.5833,75.99,23,0,9.08,clear sky
496,Sobolevo,RU,54.4299,31.8996,4.95,99,89,4.41,overcast clouds
497,Waipawa,NZ,-41.4122,175.5153,61.81,81,79,6.78,broken clouds
498,Zima,RU,53.9202,102.0442,-1.01,88,29,0.94,scattered clouds
499,Alenquer,BR,-1.9417,-54.7383,74.57,92,91,3.24,overcast clouds
500,Firminopolis,BR,-16.5819,-50.305,66.07,94,94,1.32,overcast clouds
501,Lodja,CD,-3.4833,23.4333,67.84,99,93,0.63,light rain
502,Palu,ID,-0.8917,119.8707,90.07,49,100,6.17,overcast clouds
503,Astoria,US,46.1879,-123.8313,53.56,96,100,14.97,mist
504,Matai,TZ,-8.3,31.5167,60.8,88,90,1.32,overcast clouds
505,Khash,IR,28.2211,61.2158,51.76,36,0,4.43,clear sky
506,Tateyama,JP,34.9833,139.8667,50.59,58,74,2.93,broken clouds
507,Esso,RU,55.9333,158.7,21.24,98,98,1.25,light snow
508,Caravelas,BR,-17.7125,-39.2481,72.18,91,100,5.95,light rain
509,Nchelenge,ZM,-9.3451,28.734,69.42,87,100,2.8,moderate rain
510,Guerande,FR,47.3291,-2.4283,51.96,93,100,11.5,overcast clouds
511,Marsa Matruh,EG,31.3525,27.2453,60.82,71,39,12.75,scattered clouds
512,Rosarito,MX,32.3333,-117.0333,67.24,34,0,7.2,clear sky
513,North Bend,US,43.4065,-124.2243,58.91,100,100,6.91,overcast clouds
514,Heihe,CN,50.2441,127.4902,12.78,90,100,13.22,overcast clouds
515,Saint-Augustin,CA,51.226,-58.6502,26.1,92,94,4.83,overcast clouds
516,Amsterdam,NL,52.374,4.8897,49.89,95,75,10.36,mist
517,Turan,VN,16.0678,108.2208,78.78,50,20,10.36,few clouds
518,Rabo De Peixe,PT,37.8,-25.5833,49.51,71,20,9.22,light rain
519,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.84,90,100,10.67,overcast clouds
520,Tovuz,AZ,40.9922,45.6289,37.09,69,4,4.23,clear sky
521,Tazmalt,DZ,36.3868,4.3989,56.52,52,1,5.95,clear sky
522,Dhidhdhoo,MV,6.8833,73.1,80.92,71,60,8.25,broken clouds
523,Puerto Colombia,CO,10.9878,-74.9547,78.89,77,0,24.87,clear sky
524,Arroyo,ES,41.6096,-4.7969,48.15,83,0,10.36,clear sky
525,Alkhan-Yurt,RU,43.2318,45.5723,24.73,73,0,1.72,clear sky
526,San Ramon,US,37.7799,-121.978,56.52,83,0,5.75,haze
527,Guerrero Negro,MX,27.9769,-114.0611,63.88,45,0,4.88,clear sky
528,Labuhan,ID,-6.8844,112.2051,79.88,82,100,13.8,overcast clouds
529,El Sauz,MX,20.4667,-100.1,46.49,87,75,10.36,thunderstorm
530,Kamiiso,JP,41.8167,140.65,39.58,65,40,19.57,scattered clouds
531,Siljan,NO,59.2884,9.71,20.62,96,100,2.66,light snow
532,Springdale,US,36.1867,-94.1288,15.51,74,0,3.44,clear sky
533,Zhezkazgan,KZ,47.8043,67.7144,6.78,85,0,8.95,clear sky
534,Kjollefjord,NO,70.9457,27.3465,32.05,69,96,6.91,light snow
535,Kita,ML,13.0349,-9.4895,63.75,22,87,4.29,overcast clouds
536,Abu Kamal,SY,34.4506,40.9171,50.7,69,0,4.12,clear sky
537,Zonguldak,TR,41.25,31.8333,41.02,71,100,4.27,light rain
538,Disna,BY,55.568,28.1971,12.11,97,99,0.65,overcast clouds
539,Bilma,NE,18.6853,12.9164,55.18,45,90,10.54,overcast clouds
540,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.67,90,43,3.74,scattered clouds
541,Troitskoye,RU,52.9821,84.6757,16.48,87,100,8.66,overcast clouds
542,Eydhafushi,MV,5.1033,73.0708,80.46,71,65,10.22,broken clouds
543,Jayanca,PE,-6.3908,-79.8219,71.31,73,100,5.44,overcast clouds
544,Talnakh,RU,69.4865,88.3972,-11.79,97,94,7.63,overcast clouds
545,Riyadh,SA,24.6877,46.7219,53.74,54,5,5.26,clear sky
546,Rabaul,PG,-4.1967,152.1721,84.25,72,19,6.91,light rain
547,Matara,LK,5.9485,80.5353,82.69,72,100,13.2,heavy intensity rain
548,Sayyan,YE,15.1718,44.3244,55.51,61,33,0.72,scattered clouds
549,Bara,NG,10.3744,10.7288,59.0,38,19,7.09,few clouds
550,Bardiyah,LY,31.7561,25.0865,59.79,73,8,12.03,clear sky
551,Sabang,ID,5.8933,95.3214,80.82,74,84,15.66,broken clouds
552,Maridi,SS,4.9158,29.4742,71.17,41,84,2.91,broken clouds
553,Nuevo Progreso,MX,23.1667,-97.95,43.23,36,100,5.41,overcast clouds
554,Belfast,GB,54.5833,-5.9333,48.02,82,40,13.8,scattered clouds
555,Ekibastuz,KZ,51.6667,75.3667,20.39,82,99,12.15,overcast clouds
556,Manokwari,ID,-0.8667,134.0833,83.77,74,62,9.46,broken clouds
557,Porto Novo,BJ,6.4965,2.6036,71.42,37,74,4.83,broken clouds
558,Columbine,US,39.5878,-105.0694,34.66,73,0,5.01,clear sky
559,Urumqi,CN,43.801,87.6005,2.35,85,40,2.24,mist
560,Acapulco,MX,16.8634,-99.8901,75.02,88,40,0.0,scattered clouds
561,Changji,CN,44.0167,87.3167,5.79,85,40,2.24,mist
562,Isla Mujeres,MX,21.2311,-86.731,68.16,81,100,18.37,light rain
563,Alofi,NU,-19.0595,-169.9187,80.49,78,5,11.5,clear sky
564,Pudozh,RU,61.8099,36.5345,21.72,91,75,9.84,broken clouds
565,Yairipok,IN,24.6667,94.0667,62.46,41,12,2.86,few clouds
566,Andenes,NO,69.3143,16.1194,31.98,86,75,21.85,light snow
567,La Peca,PE,-5.6111,-78.435,69.48,83,84,3.29,broken clouds
568,Kyabe,TD,9.4515,18.9449,66.29,39,7,4.94,clear sky
569,Uspenka,UA,48.3903,39.1619,35.87,85,98,2.55,overcast clouds
570,Derzhavinsk,KZ,51.1,66.3167,10.6,93,24,6.64,few clouds
