City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Barra Do Garcas,BR,70.88,broken clouds,-15.89,-52.2567,Pousada Portal
395,Cumana,VE,72.88,clear sky,10.4635,-64.1775,Hotel Regina
402,Salalah,OM,77.09,broken clouds,17.0151,54.0924,Muscat International Hotel
404,Sao Filipe,CV,71.8,broken clouds,14.8961,-24.4956,Bela Vista
405,Winneba,GH,74.91,overcast clouds,5.3511,-0.6231,Lagoon lodge Resort
417,Makakilo City,US,76.19,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
419,Guaruja,BR,72.9,scattered clouds,-23.9931,-46.2564,Pousada
433,Kupang,ID,77.58,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
437,Victoria Point,AU,81.45,scattered clouds,-27.5833,153.3,Seminara Appartments
439,Hambantota,LK,82.42,moderate rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
440,Hervey Bay,AU,76.89,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
441,Calabozo,VE,71.76,few clouds,8.9242,-67.4293,Best Western Hotel Plaza Real
443,Eyl,SO,77.81,broken clouds,7.9803,49.8164,فندق ايل دابي
445,Thanh Hoa,VN,72.86,broken clouds,19.8,105.7667,Thanh Hoa Hotel
460,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Ocean Centre Hotel
466,Nicoya,CR,72.14,few clouds,10.1483,-85.452,Hotel marianela
471,Sinnamary,GF,75.52,broken clouds,5.3833,-52.95,Hôtel du fleuve
474,Mahibadhoo,MV,80.6,broken clouds,3.7833,72.9667,Coral View Inn
475,Tevaitoa,PF,80.4,light rain,-16.7833,-151.5,Chambre d'hote
476,Sibolga,ID,84.47,overcast clouds,1.7427,98.7792,Hotel Prima Indah
491,Sao Felix Do Xingu,BR,70.92,light rain,-6.6447,-51.995,Hotel Terraço
495,Letlhakane,BW,75.99,clear sky,-21.4167,25.5833,Boteti Hotel
508,Caravelas,BR,72.18,light rain,-17.7125,-39.2481,Pousada dos Navegantes
517,Turan,VN,78.78,few clouds,16.0678,108.2208,Thanh Thanh Hotel
519,Sao Joao Da Barra,BR,70.84,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
523,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel Puerto Colombia
546,Rabaul,PG,84.25,light rain,-4.1967,152.1721,Rabaul Hotel
547,Matara,LK,82.69,heavy intensity rain,5.9485,80.5353,Villa Palm Breeze
551,Sabang,ID,80.82,broken clouds,5.8933,95.3214,Sabang Hill
556,Manokwari,ID,83.77,broken clouds,-0.8667,134.0833,Hotel Arfak
557,Porto Novo,BJ,71.42,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
560,Acapulco,MX,75.02,scattered clouds,16.8634,-99.8901,Hotel del Valle
